title,url,date,description,img
1.28.1,https://getquicker.net/Help/Versions/Version?version=1.28.1.0,Wed Nov 24 00:00:00 2021,功能改进<br>扩展热键：可以对引导键设置黑名单。<br>文本指令：增加黑名单设置。<br>上下文菜单：支持Esc关闭。<br>尝试兼容多个远程桌面Session同时使用。参考<br>动作开发<br>Zip压缩：改用SharpZipLib库，支持设定密码。<br>列表处理：修复按文件属性排序未输出值的问题。<br>修复：代码编辑窗口关闭表达式测试后右侧空白问题。<br>一个动作仅在首次分享时打开动作网页。,
1.28.0,https://getquicker.net/Help/Versions/Version?version=1.28.0.0,Tue Nov 23 00:00:00 2021,功能改进<br>支持 quicker://exesettings 启动场景与动作管理窗口。<br>升级HandyControl组件版本。<br>修复面板边框尺寸偏差问题。<br>动作开发<br>显示菜单：增加最大高度参数，支持百分比或数值。<br>修正用户输入、等待窗口中Markdown提示链接不支持跳转的问题。<br>WebView2、自定义窗口：位置类型支持 “最大化”。<br>表达式测试：自动转换数字为int型。<br>表达式测试窗口：支持复制结果、在文本窗口中显示结果。变量输入框限制高度。代码中有Delete时不开启表达式测试，避免删除文件。<br><br>表单：带选择的文本框恢复之前的风格，增加一种支持筛选的带选择文本框类型。<br>文件和目录操作：“移动到目录下” 修复自动覆盖选项不生效的问题。<br>获取系统路径：增加支持Downloads下载文件夹路径。<br>移动窗口：如果窗口为最大化状态，自动更新为 “恢复” 状态，避免移动不了位置。<br>解决无法从外部程序调用IconControl显示图片的问题。,
1.27.24,https://getquicker.net/Help/Versions/Version?version=1.27.24.0,Sun Nov 21 00:00:00 2021,【小】显示图片：修复在图片尺寸边长小于10像素的时候程序闪退的问题。,
1.27.23,https://getquicker.net/Help/Versions/Version?version=1.27.23.0,Fri Nov 19 00:00:00 2021,【小】增加 “暂停Quicker时保留快捷键” 的选项。（之前版本全部保留，现在可选不保留或只保留恢复Quicker的快捷键）参考<br><br><br>【小】外观设置：增加 “空白按钮鼠标悬浮色” 设置。参考<br>【小】在桌面上通过手势或轮盘使用 “关闭窗口” 时，避免造成桌面图标消失。（判断为桌面的情况下改为发送Alt+F4）<br>【小】扩展热键：按键提示窗口过滤禁用的按键组合。参考<br><br>动作开发<br>【小】表单：带选择的下拉框支持筛选。<br>【小】打开网址：修复 “使用当前浏览器打开网址” 时部分浏览器进程识别错误的问题。<br>【小】步骤编辑器：高亮类似步骤支持运行子程序模块。,
1.27.22,https://getquicker.net/Help/Versions/Version?version=1.27.22.0,Thu Nov 18 00:00:00 2021,【小】Fix：1.27.21版本中修改扩展热键/手势等操作时提示错误的问题。,
1.27.21,https://getquicker.net/Help/Versions/Version?version=1.27.21.0,Wed Nov 17 00:00:00 2021,功能改进<br>【小】轮盘菜单、手势、扩展热键、高级鼠标触发等位置的触发操作类型增加 “多步骤输入” 。可支持多个操作方式，用于在某些情况下避免输入法或其他组件的影响。格式文档：https://getquicker.net/KC/Help/Doc/inputscript<br>【小】组合动作增加 “多步骤输入” 模块，用于兼容上面增加的快速操作。模块分类增加 “输入” 。<br>【小】截图组件：避免出现文字残影。参考<br>【小】安装包不再进行WebView2的安装，改为新用户首次运行时弹窗提示安装。<br>【小】运行其他动作：支持动作名中包含空格的情况。<br>【小】打开网址：浏览器类型增加 “自定义浏览器程序”（用户指定浏览器exe文件路径）和 “前台浏览器程序” （自动识别当前前台的浏览器窗口）<br>【小】表单：增加Slider输入方式。,
1.27.20,https://getquicker.net/Help/Versions/Version?version=1.27.20.0,Mon Nov 15 00:00:00 2021,【小】安装包：WebView安装增加询问文字。<br><br><br>动作开发<br>【小】窗口操作：增加“取消置顶”、“置底”操作类型。<br>【小】动作编辑窗口：<br>步骤右键菜单增加“高亮类似步骤”<br><br>步骤搜索框中输入关键词后回车，自动触发“根据高亮状态展开或折叠步骤”<br><br>步骤输出：支持筛选变量。<br><br>【小】列表操作：增加按文件创建时间、文件大小等方式排序路径列表的排序操作类型。<br>【小】用户输入、等待窗口、列表排序窗口增加帮助按钮。<br>【小】用户输入窗口增加字体大小设置。去除“帮助链接”参数。,
1.27.19,https://getquicker.net/Help/Versions/Version?version=1.27.19.0,Thu Nov 11 00:00:00 2021,【小】Fix：辅助功能中按键映射出错的问题。<br>【小】文件上下文菜单增加两项复制菜单：<br>【小】文件上下文菜单，移动到增加“选择路径...”菜单，可以临时选择目标文件夹。<br><br><br>动作开发<br>【小】对象赋值给词典变量的时候，尝试自动转换。<br>【小】获取选中文件：增加“排序文件列表”参数。,
1.27.18,https://getquicker.net/Help/Versions/Version?version=1.27.18.0,Thu Nov 11 00:00:00 2021,【小】Fix：1.27.17 版本中模拟按键A在模拟单个按键时出错的BUG。<br>动作开发<br>【小】自定义窗口：在XAML代码中设定Topmost信息以后，不再主动更新Topmost标记。,
1.27.17,https://getquicker.net/Help/Versions/Version?version=1.27.17.0,Wed Nov 10 00:00:00 2021,【小】修改模拟按键A的处理方式，针对WPS模拟失败的情况进行了一些优化。<br>【小】搜索框：右键菜单增加常用搜索方式的提示，点击后可以自动输入。<br>【小】扩展热键：误按未设置的组合键时，旧版本是当做普通键输入，并且撤销引导键，新版本改为保持引导键状态。参考帖子<br>【小】面板菜单：增加“帮助和反馈”-》“入门向导”。新用户首次登录时自动显示向导。<br>【小】场景设置窗口：对本地不存在的程序，取网络图标显示。<br>【小】设置界面：百度OCR账号改为密码框输入，避免截图的时候泄露信息。<br>【小】安装程序：增加WebView安装步骤。<br>【小】下载外观：取消下载频率限制。安装外观后显示面板窗口。<br>【小】外观风格：空白按钮上悬浮鼠标的时候也增加一点颜色。<br>动作开发：<br>【小】WebView2：增加是否显示工具栏的参数。<br>【小】拖动动作到步骤列表：自动创建运行动作的步骤。<br><br><br>本版本已知问题：模拟按键A模拟单个按键时报错。,
